,Department,Title,Course,Units,Description
0,Architecture,First Year Seminar: Architecture Edition II,48026,3.0,"The first year seminar (part 2) introduces students to opportunities at Carnegie Mellon University and beyond. The goal of this course is to encourage students to pursue their interests inside and outside of the School of Architecture by introducing a range of opportunities, including study abroad experiences, internships, academic minors/additional majors, and graduate study. The introduction of the study abroad process and travel options will encourage students to consider a study away experience into their academic curriculum. Students will explore their additional academic interests by identifying their psychological preferences through the Myers-Briggs Type Indicator and matching these preferences with academic minors/additional majors at CMU. The presentation of the Intern Development Program (IDP) will engage students in considering future plans for earning IDP hours and understanding the process of securing an architectural internship. Students will be introduced to the process of developing an independent research project. Additional topical areas to be covered in the seminar will include an evaluation of the previous semester, scholarship/academic funding opportunities, graduate studies, and schedule planning for upcoming semesters."
1,Architecture,Study Abroad,48051,0.0,None
2,Architecture,Architecture Design Studio: Foundation II,48105,15.0,"The 48-105 studio, called Foundation II, is the second studio in CMU?s professional B.Arch program. It builds on the lessons from 48-100 about clear architectural communication and abstract spatial-definition, but adds a greater emphasis on the material and experiential understanding of how architecture is made and used. We continue to emphasize architectural drawing and models (both analog and digital) as the primary means of architectural communication, but also as a method of creatively exploring and rigorously testing fundamental architectural ideas. We investigate, research, analyze, diagram, and apply lessons from local architecture, and great architecture of the past, in studio, and in the parallel survey of architectural history. We introduce the use of ?systems,? ?computational thinking,? and ?rules? in the design process to create order, deal with a range of parameters, and satisfy specific performance criteria. Beginning with more abstract formal design exercises, and ending with the design of a small building, we explore how tectonics, joinery, materials, as well as site, orientation, context, and human use can be harnessed to inspire great design. The design process is still carefully controlled, but students are encouraged to begin to speculate and take careful risks."
3,Architecture,Architecture Design Studio: Elaboration II,48205,18.0,"Building on the fall studio, the spring semester is concerned with more in-depth understanding and development of designs for small-scale buildings, now informed by greater knowledge related to materials, fabrication, and the act of construction. Following the New Materiality evident in architecture today, and acknowledging the importance of materials and assembly techniques for sustainable design, we seek to explore the aesthetic and experiential meaning of materials (WHY?), and the technical knowledge related to the use of materials and the processes of construction (HOW?). The creative opportunities and design implications of using varied materials, structural systems, fabrication and assembly techniques--both analogue and digital--are elaborated, especially as they determine the artistic, conceptual, poetic, creative, spatial, and experiential aspects of architecture. The studio projects, lectures, and the required building study will focus on the application and integration of knowledge acquired in a parallel Materials Assembly course 48-215."
4,Architecture,Historical Survey of World Architecture and Urbanism I,48240,9.0,"This course cuts a broad swath through time, geography and cultures, surveying critical episodes in the built environment of Europe, the Middle East, Asia, and the Americas from antiquity through the 19th century. Reflecting the inseparable relation between building and human needs, this course is not only a history of architecture, but also a history through architecture. It examines architectural and urban design as a form of cultural expression unique to its time and place. The design, use, meaning and legacy of a building is conditioned not only by the architects will or the patrons desire, but also by a web of technological, religious, social, cultural, economic, and political factors of the time. This foundation course is the first in the architectural history sequence, and introduces students to the subject and skills of world architectural history. It is a prerequisite for all subsequent architectural history courses. Student work will include several exams and a final."
5,Architecture,Modern Architecture,48241,9.0,"This survey of modern architectural history lecture course picks up where the historical survey 48-240 leaves off. It focuses attention on the 20th-century, and investigates the web of interwoven ideas and issues that characterize the modern age and ?modernism.? We begin with a look at the crisis of modernity that plagued most of western civilization in the late 19th-century, and then survey the major movements of the avant-garde and other responses to modernity, and end with what came to be known as ?Post-Modernism.? We will look more closely at the increasing divide between the ?disciplinary? edge of architecture, and architecture?s increasing ?professionalization? in the last century, focusing on how architecture has influenced culture through experimentation and provocative thinking, even when the primary intent was functional, technological, social, political, etc. Emphasis will be placed on the relationship of buildings to the more general cultural, intellectual, and historical circumstances in which they were created. Special attention will be devoted to the important manifestoes, theoretical, and critical writings that so determined the project of modern architecture."
6,Architecture,Architecture Design Studio: Integration II,48305,18.0,"The basis for the CMU studio course sequence is the expectation that the student retains and applies knowledge gained each semester to the current studio. The spring semester of the third year of architectural studies at Carnegie Mellon University is concerned with the detailed development and refinement of an architectural design as informed by the technical knowledge of structural systems, enclosure systems and the process of construction. The student is expected to articulate concepts and develop designs with more precision and in greater detail than done in previous studios and courses. In addition to criteria related to the development of design skills appropriate to ones sixth semester of the studio sequence, the following criteria are an explicit part of the evaluation of the student work"
7,Architecture,Structures/Statics,48324,9.0,To be provided by department
8,Architecture,Detailing Architecture,48328,9.0,"This course looks toward the role of the architectural detail in the formation and thematic development of a work of architecture. Students interested in this course need to have willingness to explore and research building details, speculate on their appropriateness and document through analytical drawing their intent and assembly. The course will be composed of a weekly lecture and weekly discussion of research and drawing development made by each of the students."
9,Architecture,Architecture and Resistance: of empowerment and ecological thinking,48336,9.0,Course description forthcoming.
